Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вид товара";Размеры;Толщина
"Для ЧПУ станков/Эластичные муфты";"Эластичная муфта  JH1-d40-12";350.39;elastichnaya-mufta-jh1-d40-12;1;0;;;;;;;;;;;;Эластичная муфта;;
"Для ЧПУ станков/Эластичные муфты";"Эластичная муфта  JH1-d50-14";677.78;elastichnaya-mufta-jh1-d50-14;1;0;;;;;;;;;;;;Эластичная муфта;;
"Для ЧПУ станков/Эластичные муфты";"Эластичная муфта  JH1-d63-16";1014.19;elastichnaya-mufta-jh1-d63-16;1;0;;;;;;;;;;;;Эластичная муфта;;
"Для ЧПУ станков/Эластичные муфты";"Эластичная муфта SOHM-53С 8*20";1361.69;elastichnaya-mufta-sohm-53s-820;1;0;;;;;;"Эластичная муфта SOHM-53С 8*20";"Эластичная муфта SOHM-53С 8*20";;;;;Эластичная муфта;;
"Для ЧПУ станков/Эластичные муфты";"Эластичная муфта SOHM-70С 10*25";2563.07;elastichnaya-mufta-sohm-70s-1025;1;0;;;;;;"Эластичная муфта SOHM-70С 10*25";"Эластичная муфта SOHM-70С 10*25";;;;;Эластичная муфта;;
"Для ЧПУ станков/Кабелеукладчики";"Гибкий кабель-канал TP 15x40-R38 откр. (цена указана за 1 м)";541.81;gibkij-kabel-kanal-tp-15x40-r38-otkr-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;кабель-канал;;
"Для ЧПУ станков/Кабелеукладчики";"Гибкий кабель-канал TP 15x20-R38 откр. (цена указана за 1 м)";441.93;gibkij-kabel-kanal-tp-15x20-r38-otkr-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;кабель-канал;;
"Для ЧПУ станков/Кабелеукладчики";"Гибкий кабель-канал TEZ65x125-R300 закр. (цена указана за 1 м)";3092.71;gibkij-kabel-kanal-tez65x125-r300-zakr-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;кабель-канал;;
"Для ЧПУ станков/Кабелеукладчики";"Гибкий кабель-канал TEZ45x50-R150 откр. (цена указана за 1 м)";1402.17;gibkij-kabel-kanal-tez45x50-r150-otkr-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;кабель-канал;;
"Для ЧПУ станков/Кабелеукладчики";"Гибкий кабель-канал TEZ45x50-R150 закр. (цена указана за 1 м)";1495.80;gibkij-kabel-kanal-tez45x50-r150-zakr-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;кабель-канал;;
"Для ЧПУ станков/Кабелеукладчики";"Гибкий кабель-канал TEZ35x75-R150 откр. (цена указана за 1 м)";1295.91;gibkij-kabel-kanal-tez35x75-r150-otkr-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;кабель-канал;;
"Для ЧПУ станков/Кабелеукладчики";"Гибкий кабель-канал TEZ35x75-R150 закр. (цена указана за 1 м)";1413.70;gibkij-kabel-kanal-tez35x75-r150-zakr-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;кабель-канал;;
"Для ЧПУ станков/Кабелеукладчики";"Гибкий кабель-канал TEZ35x50-R150 откр. (цена указана за 1 м)";1178.16;gibkij-kabel-kanal-tez35x50-r150-otkr-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;кабель-канал;;
"Для ЧПУ станков/Кабелеукладчики";"Гибкий кабель-канал TEZ35x50-R150 закр. (цена указана за 1 м)";1237.02;gibkij-kabel-kanal-tez35x50-r150-zakr-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;кабель-канал;;
"Для ЧПУ станков/Кабелеукладчики";"Гибкий кабель-канал TEZ25x38-R75 закр. (цена указана за 1 м)";1001.64;gibkij-kabel-kanal-tez25x38-r75-zakr-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;кабель-канал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал на опоре SBS12A (цена указана за 1 м)";759.12;linejnyj-val-na-opore-sbs12a-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал на опоре SBS16A (цена указана за 1 м)";759.12;linejnyj-val-na-opore-sbs16a-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал на опоре SBS20A (цена указана за 1 м)";858.13;linejnyj-val-na-opore-sbs20a-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал на опоре SBS25A (цена указана за 1 м)";1056.16;linejnyj-val-na-opore-sbs25a-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал на опоре SBS30A (цена указана за 1 м)";1518.23;linejnyj-val-na-opore-sbs30a-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал SF08 (цена указана за 1 м)";198.03;linejnyj-val-sf08-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал SF10 (цена указана за 1 м)";198.03;linejnyj-val-sf10-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал SF12 (цена указана за 1 м)";198.03;linejnyj-val-sf12-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал SF16 (цена указана за 1 м)";264.04;linejnyj-val-sf16-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал SF20 (цена указана за 1 м)";363.06;linejnyj-val-sf20-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал SF25 (цена указана за 1 м)";528.08;linejnyj-val-sf25-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал SF30 (цена указана за 1 м)";660.10;linejnyj-val-sf30-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный вал SF40 (цена указана за 1 м)";1221.19;linejnyj-val-sf40-tsena-ukazana-za-1-m;1;0;;;;;;;;;;;;вал;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе откр SBR12UU";194.04;linejnyj-podshipnik-v-korpuse-otkr-sbr12uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе откр SBR16UU";194.04;linejnyj-podshipnik-v-korpuse-otkr-sbr16uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе откр SBR20UU";233.74;linejnyj-podshipnik-v-korpuse-otkr-sbr20uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе откр SBR25UU";396.13;linejnyj-podshipnik-v-korpuse-otkr-sbr25uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе откр SBR30UU";453.42;linejnyj-podshipnik-v-korpuse-otkr-sbr30uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе откр SBR35UU";707.40;linejnyj-podshipnik-v-korpuse-otkr-sbr35uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SH08";50.70;kontsevaya-opora-sh08;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SH10";52.02;kontsevaya-opora-sh10;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SH12";46.54;kontsevaya-opora-sh12;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SH16";54.52;kontsevaya-opora-sh16;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SH20";70.87;kontsevaya-opora-sh20;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SH25";93.60;kontsevaya-opora-sh25;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SH30";112.55;kontsevaya-opora-sh30;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SH35";171.93;kontsevaya-opora-sh35;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SH40";265.99;kontsevaya-opora-sh40;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SHF08";70.87;kontsevaya-opora-shf08;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SHF10";70.87;kontsevaya-opora-shf10;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SHF12";72.71;kontsevaya-opora-shf12;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SHF16";80.77;kontsevaya-opora-shf16;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SHF20";94.39;kontsevaya-opora-shf20;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SHF25";117.89;kontsevaya-opora-shf25;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SHF30";138.22;kontsevaya-opora-shf30;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SHF35";190.11;kontsevaya-opora-shf35;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Концевая опора SHF40";311.74;kontsevaya-opora-shf40;1;0;;;;;;;;;;;;опора;;
"Для ЧПУ станков/Цилиндрические направляющие";"Лин.подшипник в корп. с фланцем LMF6AUU";118.00;linpodshipnik-v-korp-s-flantsem-lmf6auu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Лин.подшипник в корп. с фланцем LMH13AUU";179.88;linpodshipnik-v-korp-s-flantsem-lmh13auu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Лин.подшипник в корп. с фланцем LMK20AUU";226.91;linpodshipnik-v-korp-s-flantsem-lmk20auu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Лин.подшипник в корп. с фланцем LMF30LUU";511.58;linpodshipnik-v-korp-s-flantsem-lmf30luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Лин.подшипник в корп. с фланцем LMK40LUU";1303.70;linpodshipnik-v-korp-s-flantsem-lmk40luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC08SUU";120.40;linejnyj-podshipnik-v-korpuse-sc08suu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC10SUU";121.72;linejnyj-podshipnik-v-korpuse-sc10suu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC12SUU";98.39;linejnyj-podshipnik-v-korpuse-sc12suu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC16SUU";139.28;linejnyj-podshipnik-v-korpuse-sc16suu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC20SUU";152.65;linejnyj-podshipnik-v-korpuse-sc20suu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC25SUU";287.14;linejnyj-podshipnik-v-korpuse-sc25suu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC30SUU";344.61;linejnyj-podshipnik-v-korpuse-sc30suu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC35SUU";525.04;linejnyj-podshipnik-v-korpuse-sc35suu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC40SUU";688.95;linejnyj-podshipnik-v-korpuse-sc40suu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC08LUU";238.16;linejnyj-podshipnik-v-korpuse-sc08luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC10LUU";241.60;linejnyj-podshipnik-v-korpuse-sc10luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC12LUU";245.95;linejnyj-podshipnik-v-korpuse-sc12luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC16LUU";306.68;linejnyj-podshipnik-v-korpuse-sc16luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC20LUU";353.72;linejnyj-podshipnik-v-korpuse-sc20luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC25LUU";590.30;linejnyj-podshipnik-v-korpuse-sc25luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC30LUU";771.30;linejnyj-podshipnik-v-korpuse-sc30luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC35LUU";1075.27;linejnyj-podshipnik-v-korpuse-sc35luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC40LUU";1546.06;linejnyj-podshipnik-v-korpuse-sc40luu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC08UU";83.14;linejnyj-podshipnik-v-korpuse-sc08uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC10UU";123.04;linejnyj-podshipnik-v-korpuse-sc10uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC12UU";126.74;linejnyj-podshipnik-v-korpuse-sc12uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC16UU";151.56;linejnyj-podshipnik-v-korpuse-sc16uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC20UU";181.79;linejnyj-podshipnik-v-korpuse-sc20uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC25UU";302.39;linejnyj-podshipnik-v-korpuse-sc25uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC30UU";370.55;linejnyj-podshipnik-v-korpuse-sc30uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC35UU";525.61;linejnyj-podshipnik-v-korpuse-sc35uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник в корпусе SC40UU";764.59;linejnyj-podshipnik-v-korpuse-sc40uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM16UU-OP";87.70;linejnyj-podshipnik-lm16uu-op;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM20UU-OP";97.60;linejnyj-podshipnik-lm20uu-op;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM25UU-OP";141.43;linejnyj-podshipnik-lm25uu-op;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM30UU-OP";172.46;linejnyj-podshipnik-lm30uu-op;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM35UU-OP";237.97;linejnyj-podshipnik-lm35uu-op;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM08UU";45.15;linejnyj-podshipnik-lm08uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM10UU";46.47;linejnyj-podshipnik-lm10uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM12UU";50.54;linejnyj-podshipnik-lm12uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM16UU";59.38;linejnyj-podshipnik-lm16uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM20UU";63.94;linejnyj-podshipnik-lm20uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM25UU";99.74;linejnyj-podshipnik-lm25uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM30UU";113.90;linejnyj-podshipnik-lm30uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM35UU";216.58;linejnyj-podshipnik-lm35uu;1;0;;;;;;;;;;;;подшипник;;
"Для ЧПУ станков/Цилиндрические направляющие";"Линейный подшипник LM40UU";261.99;linejnyj-podshipnik-lm40uu;1;0;;;;;;;;;;;;подшипник;;
"Конструкционный пластик/Полиуретан";"Полиуретан пруток 40х1000 ";491.57;poliuretan-prutok-40h1000--931;1;0;;;;;;"Полиуретан пруток 40х1000 ";"Полиуретан пруток 40х1000 ";;;;;пруток;;
"Конструкционный пластик/Полиуретан";"Полиуретан пруток 50х1000 ";757.02;poliuretan-prutok-50h1000-;1;0;;;;;;"Полиуретан пруток 50х1000 ";"Полиуретан пруток 50х1000 ";;;;;пруток;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр DNC-32x100";718.00;pnevmotsilindr-dnc-32x100;1;0;;;;;;"Пневмоцилиндр DNC-32x100";"пневмоцилиндр, DNC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр DNC-40x100";862.00;pnevmotsilindr-dnc-40x100;1;0;;;;;;"Пневмоцилиндр DNC-40x100";"пневмоцилиндр, DNC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр DNC-50x100";1101.00;pnevmotsilindr-dnc-50x100;1;0;;;;;;"Пневмоцилиндр DNC-50x100";"пневмоцилиндр, DNC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр DNC-63x100";1312.00;pnevmotsilindr-dnc-63x100;1;0;;;;;;"Пневмоцилиндр DNC-63x100";"пневмоцилиндр, DNC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр DNC-80x100";1814.00;pnevmotsilindr-dnc-80x100;1;0;;;;;;"Пневмоцилиндр DNC-80x100";"пневмоцилиндр, DNC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр DNC-100x100";2199.00;pnevmotsilindr-dnc-100x100;1;0;;;;;;"Пневмоцилиндр DNC-100x100";"пневмоцилиндр, DNC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр DNC-125x100";4266.00;pnevmotsilindr-dnc-125x100;1;0;;;;;;"Пневмоцилиндр DNC-125x100";"пневмоцилиндр, DNC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр ADVU-16x100";430.00;pnevmotsilindr-advu-16x100;1;0;;;;;;"Пневмоцилиндр ADVU-16x100";"пневмоцилиндр, ADVU";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр ADVU-20x100";500.00;pnevmotsilindr-advu-20x100;1;0;;;;;;"Пневмоцилиндр ADVU-20x100";"пневмоцилиндр, ADVU";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр ADVU-25x100";574.00;pnevmotsilindr-advu-25x100;1;0;;;;;;"Пневмоцилиндр ADVU-25x100";"пневмоцилиндр, ADVU";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр ADVU-32x100";732.00;pnevmotsilindr-advu-32x100;1;0;;;;;;"Пневмоцилиндр ADVU-32x100";"пневмоцилиндр, ADVU";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр ADVU-40x100";710.00;pnevmotsilindr-advu-40x100;1;0;;;;;;"Пневмоцилиндр ADVU-40x100";"пневмоцилиндр, ADVU";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр ADVU-50x100";963.00;pnevmotsilindr-advu-50x100;1;0;;;;;;"Пневмоцилиндр ADVU-50x100";"пневмоцилиндр, ADVU";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр ADVU-63x100";1410.00;pnevmotsilindr-advu-63x100;1;0;;;;;;;"пневмоцилиндр, ADVU";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр ADVU-80x100";1900.00;pnevmotsilindr-advu-80x100;1;0;;;;;;"Пневмоцилиндр ADVU-80x100";"пневмоцилиндр, ADVU";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр MA-16x100";367.00;pnevmotsilindr-ma-16x100;1;0;;;;;;"Пневмоцилиндр MA-16x100";"пневмоцилиндр, MA";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр MA-20x100";388.00;pnevmotsilindr-ma-20x100;1;0;;;;;;"Пневмоцилиндр MA-20x100";"пневмоцилиндр, MA";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр MA-25x100";456.00;pnevmotsilindr-ma-25x100;1;0;;;;;;"Пневмоцилиндр MA-25x100";"пневмоцилиндр, MA";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр SC-32x100";485.00;pnevmotsilindr-sc-32x100;1;0;;;;;;"Пневмоцилиндр SC-32x100";"пневмоцилиндр, SC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр SC-40x100";533.00;pnevmotsilindr-sc-40x100;1;0;;;;;;"Пневмоцилиндр SC-40x100";"пневмоцилиндр, SC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр SC-50x100";628.00;pnevmotsilindr-sc-50x100;1;0;;;;;;"Пневмоцилиндр SC-50x100";"пневмоцилиндр, SC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр SC-63x100";746.00;pnevmotsilindr-sc-63x100;1;0;;;;;;"Пневмоцилиндр SC-63x100";"пневмоцилиндр, SC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр SC-80x100";1186.00;pnevmotsilindr-sc-80x100;1;0;;;;;;"Пневмоцилиндр SC-80x100";"пневмоцилиндр, SC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр SC-100x100";1416.00;pnevmotsilindr-sc-100x100;1;0;;;;;;"Пневмоцилиндр SC-100x100";"пневмоцилиндр, SC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр SC-125x100";2219.00;pnevmotsilindr-sc-125x100;1;0;;;;;;"Пневмоцилиндр SC-125x100";"пневмоцилиндр, SC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр SC-160x100";4267.00;pnevmotsilindr-sc-160x100;1;0;;;;;;"Пневмоцилиндр SC-160x100";"пневмоцилиндр, SC";;;;;пневмоцилиндр;;
Пневматика/Пневмоцилиндры;"Пневмоцилиндр SC-200x100";5752.00;pnevmotsilindr-sc-200x100;1;0;;;;;;"Пневмоцилиндр SC-200x100";"пневмоцилиндр, SC";;;;;пневмоцилиндр;;
"Пневматика/Пневмораспредел. клапаны";"Катушка соленоидного клапана 210COIL(D9*29.5) 220V";127.93;katushka-solenoidnogo-klapana-210coild9295-220v;1;0;;;;;;"Катушка соленоидного клапана 210COIL(D9*29.5) 220V";"Катушка соленоидного клапана 210COIL(D9*29.5) 220V";;;;;катушка;;
"Пневматика/Пневмораспредел. клапаны";"Катушка соленоидного клапана 210COIL(D9*29.5) 24V";127.93;katushka-solenoidnogo-klapana-210coild9295-24v;1;0;;;;;;"Катушка соленоидного клапана 210COIL(D9*29.5) 24V";"Катушка соленоидного клапана 210COIL(D9*29.5) 24V";;;;;катушка;;
"Пневматика/Пневмораспредел. клапаны";"Катушка соленоидного клапана 210COIL(D9*29.5) 12V";127.93;katushka-solenoidnogo-klapana-210coild9295-12v;1;0;;;;;;"Катушка соленоидного клапана 210COIL(D9*29.5) 12V";"Катушка соленоидного клапана 210COIL(D9*29.5) 12V";;;;;катушка;;
"Пневматика/Пневмораспредел. клапаны";"Клапан с ручным управлением TSV86522M";585.89;klapan-s-ruchnym-upravleniem-tsv86522m;1;0;;;;;;;;;;;;клапан;;
"Пневматика/Пневмораспредел. клапаны";"Клапан с ручным управлением HV-03";497.73;klapan-s-ruchnym-upravleniem-hv-03;1;0;;;;;;"Клапан с ручным управлением HV-03";"Клапан с ручным управлением HV-03";;;;;клапан;;
"Пневматика/Пневмораспредел. клапаны";"Клапан с ручным управлением HV-04";497.73;klapan-s-ruchnym-upravleniem-hv-04;1;0;;;;;;"Клапан с ручным управлением HV-04";"Клапан с ручным управлением HV-04";;;;;клапан;;
"Пневматика/Пневмораспредел. клапаны";"Соленоидный клапан (электромагнитный пневмораспределитель) 2W250-25 DC24V-NO-D";2048.48;solenoidnyj-klapan-elektromagnitnyj-pnevmoraspredelitel-2w250-25-dc24v-no-d;1;0;;;;;;;;;;;;клапан;;
"Пневматика/Пневмораспредел. клапаны";"Соленоидный клапан (электромагнитный пневмораспределитель) 2W250-25 AC220V-NC";1463.61;solenoidnyj-klapan-elektromagnitnyj-pnevmoraspredelitel-2w250-25-ac220v-nc;1;0;;;;;;;;;;;;клапан;;
